State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Percentage,I_Votes,I_Votes_Total,Year
Tennessee,TN,11,ADLAI E. STEVENSON,49.7,443710,DWIGHT D. EISENHOWER,50,446147,,,,1952
Oklahoma,OK,8,ADLAI E. STEVENSON,45.4,430939,DWIGHT D. EISENHOWER,54.6,518045,,,,1952
Texas,TX,24,ADLAI E. STEVENSON,46.7,969228,DWIGHT D. EISENHOWER,53.1,1102878,,,,1952
Florida,FL,10,ADLAI E. STEVENSON,45,444950,DWIGHT D. EISENHOWER,55,544036,,,,1952
Maryland,MD,9,ADLAI E. STEVENSON,43.8,395337,DWIGHT D. EISENHOWER,55.4,499424,,,,1952
Washington,WA,9,ADLAI E. STEVENSON,44.7,492845,DWIGHT D. EISENHOWER,54.3,599107,,,,1952
Montana,MT,4,ADLAI E. STEVENSON,40.1,106213,DWIGHT D. EISENHOWER,59.4,157394,,,,1952
Idaho,ID,4,ADLAI E. STEVENSON,34.4,95081,DWIGHT D. EISENHOWER,65.4,180707,,,,1952
Wyoming,WY,3,ADLAI E. STEVENSON,37.1,47934,DWIGHT D. EISENHOWER,62.7,81049,,,,1952
Nevada,NV,3,ADLAI E. STEVENSON,38.6,31688,DWIGHT D. EISENHOWER,61.4,50502,,,,1952
Colorado,CO,6,ADLAI E. STEVENSON,39,245504,DWIGHT D. EISENHOWER,60.3,379782,,,,1952
California,CA,32,ADLAI E. STEVENSON,42.7,2197548,DWIGHT D. EISENHOWER,56.3,2897310,,,,1952
Utah,UT,4,ADLAI E. STEVENSON,41.1,135364,DWIGHT D. EISENHOWER,58.9,194190,,,,1952
Arizona,AZ,4,ADLAI E. STEVENSON,41.7,108528,DWIGHT D. EISENHOWER,58.3,152042,,,,1952
New Mexico,NM,4,ADLAI E. STEVENSON,44.3,105661,DWIGHT D. EISENHOWER,55.4,132170,,,,1952
Oregon,OR,6,ADLAI E. STEVENSON,38.9,270579,DWIGHT D. EISENHOWER,60.5,420815,,,,1952
