State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Delaware,DE,3,MICHAEL S. DUKAKIS,43.5,108647,GEORGE BUSH,55.9,139639,,,,1988
Kentucky,KY,9,MICHAEL S. DUKAKIS,43.9,580368,GEORGE BUSH,55.5,734281,,,,1988
Maryland,MD,10,MICHAEL S. DUKAKIS,48.2,826304,GEORGE BUSH,51.1,876167,,,,1988
Virginia,VA,12,MICHAEL S. DUKAKIS,39.2,859799,GEORGE BUSH,59.7,1309162,,,,1988
Arkansas,AR,6,MICHAEL S. DUKAKIS,42.2,349237,GEORGE BUSH,56.4,466578,,,,1988
Tennessee,TN,11,MICHAEL S. DUKAKIS,41.5,679794,GEORGE BUSH,57.9,947233,,,,1988
North Carolina,NC,13,MICHAEL S. DUKAKIS,41.7,890167,GEORGE BUSH,58,1237258,,,,1988
South Carolina,SC,8,MICHAEL S. DUKAKIS,37.6,370554,GEORGE BUSH,61.5,606443,,,,1988
Oklahoma,OK,8,MICHAEL S. DUKAKIS,41.3,483423,GEORGE BUSH,57.9,678367,,,,1988
Louisiana,LA,10,MICHAEL S. DUKAKIS,44.1,717460,GEORGE BUSH,54.3,883702,,,,1988
Mississippi,MS,7,MICHAEL S. DUKAKIS,39.1,363921,GEORGE BUSH,59.9,557890,,,,1988
Alabama,AL,9,MICHAEL S. DUKAKIS,39.9,549506,GEORGE BUSH,59.2,815576,,,,1988
Georgia,GA,12,MICHAEL S. DUKAKIS,39.5,714792,GEORGE BUSH,59.8,1081331,,,,1988
Texas,TX,29,MICHAEL S. DUKAKIS,43.3,2352748,GEORGE BUSH,56,3036829,,,,1988
Florida,FL,21,MICHAEL S. DUKAKIS,38.5,1656701,GEORGE BUSH,60.9,2618885,,,,1988
Alaska,AK,3,MICHAEL S. DUKAKIS,36.3,72584,GEORGE BUSH,59.6,119251,,,,1988
Montana,MT,4,MICHAEL S. DUKAKIS,46.2,168936,GEORGE BUSH,52.1,190412,,,,1988
Idaho,ID,4,MICHAEL S. DUKAKIS,36,147272,GEORGE BUSH,62.1,253881,,,,1988
Wyoming,WY,3,MICHAEL S. DUKAKIS,38,67113,GEORGE BUSH,60.5,106867,,,,1988
Nevada,NV,4,MICHAEL S. DUKAKIS,37.9,132738,GEORGE BUSH,58.9,206040,,,,1988
Colorado,CO,8,MICHAEL S. DUKAKIS,45.3,621453,GEORGE BUSH,53.1,728177,,,,1988
California,CA,47,MICHAEL S. DUKAKIS,47.6,4702233,GEORGE BUSH,51.1,5054917,,,,1988
Utah,UT,5,MICHAEL S. DUKAKIS,32,207343,GEORGE BUSH,66.2,428442,,,,1988
Arizona,AZ,7,MICHAEL S. DUKAKIS,38.7,454029,GEORGE BUSH,60,702541,,,,1988
New Mexico,NM,5,MICHAEL S. DUKAKIS,46.9,244497,GEORGE BUSH,51.9,270341,,,,1988
