State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Iowa,IA,9,HUBERT HUMPHREY,40.8,476699,RICHARD NIXON,53,619106,GEORGE WALLACE,5.7,66422,1968
Indiana,IN,13,HUBERT HUMPHREY,38,806659,RICHARD NIXON,50.3,1067885,GEORGE WALLACE,11.4,243108,1968
Ohio,OH,26,HUBERT HUMPHREY,42.9,1700586,RICHARD NIXON,45.2,1791014,GEORGE WALLACE,11.8,467495,1968
Nebraska,NE,5,HUBERT HUMPHREY,31.8,170784,RICHARD NIXON,59.8,321163,GEORGE WALLACE,8.4,44904,1968
Missouri,MO,12,HUBERT HUMPHREY,43.7,791444,RICHARD NIXON,44.9,811932,GEORGE WALLACE,11.4,206126,1968
Kansas,KS,7,HUBERT HUMPHREY,34.7,302996,RICHARD NIXON,54.8,478674,GEORGE WALLACE,10.2,88921,1968
Vermont,VT,3,HUBERT HUMPHREY,43.5,70255,RICHARD NIXON,52.8,85142,GEORGE WALLACE,3.2,5104,1968
New Hampshire,NH,4,HUBERT HUMPHREY,43.9,130589,RICHARD NIXON,52.1,154903,GEORGE WALLACE,3.8,11173,1968
New Jersey,NJ,17,HUBERT HUMPHREY,44,1264206,RICHARD NIXON,46.1,1325467,GEORGE WALLACE,9.1,262187,1968
Delaware,DE,3,HUBERT HUMPHREY,41.6,89194,RICHARD NIXON,45.1,96714,GEORGE WALLACE,13.3,28459,1968
Kentucky,KY,9,HUBERT HUMPHREY,37.6,397541,RICHARD NIXON,43.8,462411,GEORGE WALLACE,18.3,193098,1968
Virginia,VA,12,HUBERT HUMPHREY,32.5,442387,RICHARD NIXON,43.4,590319,GEORGE WALLACE,23.6,321833,1968
Tennessee,TN,11,HUBERT HUMPHREY,28.1,351233,RICHARD NIXON,37.8,472592,GEORGE WALLACE,34,424792,1968
North Carolina,NC,12,HUBERT HUMPHREY,29.2,464113,RICHARD NIXON,39.5,627192,GEORGE WALLACE,31.3,496188,1968
Oklahoma,OK,8,HUBERT HUMPHREY,32,301658,RICHARD NIXON,47.7,449697,GEORGE WALLACE,20.3,191731,1968
Florida,FL,14,HUBERT HUMPHREY,30.9,676794,RICHARD NIXON,40.5,886804,GEORGE WALLACE,28.5,624207,1968
South Carolina,SC,8,HUBERT HUMPHREY,29.6,197486,RICHARD NIXON,38.1,254062,GEORGE WALLACE,32.3,215430,1968
Alaska,AK,3,HUBERT HUMPHREY,42.6,35411,RICHARD NIXON,45.3,37600,GEORGE WALLACE,12.1,10024,1968
Montana,MT,4,HUBERT HUMPHREY,41.6,114117,RICHARD NIXON,50.6,138835,GEORGE WALLACE,7.3,20015,1968
Idaho,ID,4,HUBERT HUMPHREY,30.7,89273,RICHARD NIXON,56.8,165369,GEORGE WALLACE,12.5,36541,1968
Wyoming,WY,3,HUBERT HUMPHREY,35.5,45173,RICHARD NIXON,55.8,70927,GEORGE WALLACE,8.7,11105,1968
Oregon,OR,6,HUBERT HUMPHREY,43.8,358866,RICHARD NIXON,49.8,408433,GEORGE WALLACE,6.1,49683,1968
Nevada,NV,3,HUBERT HUMPHREY,39.3,60598,RICHARD NIXON,47.5,73188,GEORGE WALLACE,13.2,20432,1968
Colorado,CO,6,HUBERT HUMPHREY,41.3,335174,RICHARD NIXON,50.5,409345,GEORGE WALLACE,7.5,60813,1968
California,CA,40,HUBERT HUMPHREY,44.7,3244318,RICHARD NIXON,47.8,3467664,GEORGE WALLACE,6.7,487270,1968
Utah,UT,4,HUBERT HUMPHREY,31.1,156665,RICHARD NIXON,56.5,238728,GEORGE WALLACE,6.4,26906,1968
New Mexico,NM,4,HUBERT HUMPHREY,39.7,130081,RICHARD NIXON,51.8,169692,GEORGE WALLACE,7.9,25737,1968
Arizona,AZ,5,HUBERT HUMPHREY,35,170514,RICHARD NIXON,54.8,266721,GEORGE WALLACE,9.6,46573,1968
