State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Florida,FL,17,JIMMY CARTER,38.5,1419475,RONALD REAGAN,55.5,2046951,JOHN ANDERSON,5.1,189692,1980
Virginia,VA,12,JIMMY CARTER,40.3,752174,RONALD REAGAN,53,989609,JOHN ANDERSON,5.1,95418,1980
Oklahoma,OK,8,JIMMY CARTER,35,402026,RONALD REAGAN,60.5,695570,JOHN ANDERSON,3.3,38284,1980
Alaska,AK,3,JIMMY CARTER,26.4,41842,RONALD REAGAN,54.3,86112,JOHN ANDERSON,7,11155,1980
Washington,WA,9,JIMMY CARTER,37.3,650193,RONALD REAGAN,49.7,865244,JOHN ANDERSON,10.6,185073,1980
Montana,MT,4,JIMMY CARTER,32.4,118032,RONALD REAGAN,56.8,206814,JOHN ANDERSON,8,29281,1980
Idaho,ID,4,JIMMY CARTER,25.2,110192,RONALD REAGAN,66.5,290699,JOHN ANDERSON,6.2,27058,1980
Wyoming,WY,3,JIMMY CARTER,28,49427,RONALD REAGAN,62.6,110700,JOHN ANDERSON,6.8,12072,1980
Oregon,OR,6,JIMMY CARTER,38.7,456890,RONALD REAGAN,48.3,571044,JOHN ANDERSON,9.5,112389,1980
Nevada,NV,3,JIMMY CARTER,26.9,66666,RONALD REAGAN,62.5,155017,JOHN ANDERSON,7.1,17651,1980
Colorado,CO,7,JIMMY CARTER,31.1,367973,RONALD REAGAN,55.1,652264,JOHN ANDERSON,11,130633,1980
California,CA,45,JIMMY CARTER,35.9,3083661,RONALD REAGAN,52.7,4524858,JOHN ANDERSON,8.6,739833,1980
Utah,UT,4,JIMMY CARTER,20.6,124266,RONALD REAGAN,72.8,439687,JOHN ANDERSON,5,30284,1980
Arizona,AZ,6,JIMMY CARTER,28.2,246843,RONALD REAGAN,60.6,529688,JOHN ANDERSON,8.8,76952,1980
New Mexico,NM,4,JIMMY CARTER,36.7,167826,RONALD REAGAN,54.9,250779,JOHN ANDERSON,6.4,29459,1980
