State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Hawaii,HI,4,AL GORE,55.8,205286,GEORGE W. BUSH,37.5,137845,RALPH NADER,5.9,21623,2000
Ohio,OH,21,AL GORE,46.4,2183628,GEORGE W. BUSH,50,2350363,RALPH NADER,2.5,117799,2000
Missouri,MO,11,AL GORE,47.1,1111138,GEORGE W. BUSH,50.4,1189924,RALPH NADER,1.6,38515,2000
North Dakota,ND,3,AL GORE,33.1,95284,GEORGE W. BUSH,60.7,174852,RALPH NADER,3.3,9486,2000
South Dakota,SD,3,AL GORE,37.6,118804,GEORGE W. BUSH,60.3,190700,RALPH NADER,0,,2000
Indiana,IN,12,AL GORE,41,901980,GEORGE W. BUSH,56.6,1245836,RALPH NADER,0.8,18531,2000
Nebraska,NE,5,AL GORE,33.3,231780,GEORGE W. BUSH,62.2,433862,RALPH NADER,3.5,24540,2000
Kansas,KS,6,AL GORE,37.2,399276,GEORGE W. BUSH,58,622332,RALPH NADER,3.4,36086,2000
New Hampshire,NH,4,AL GORE,46.8,266348,GEORGE W. BUSH,48.1,273559,RALPH NADER,3.9,22198,2000
Kentucky,KY,8,AL GORE,41.4,638898,GEORGE W. BUSH,56.5,872492,RALPH NADER,1.5,23192,2000
West Virginia,WV,5,AL GORE,45.6,295497,GEORGE W. BUSH,51.9,336475,RALPH NADER,1.6,10680,2000
Arkansas,AR,6,AL GORE,45.9,422768,GEORGE W. BUSH,51.3,472940,RALPH NADER,1.5,13421,2000
Tennessee,TN,11,AL GORE,47.3,981720,GEORGE W. BUSH,51.1,1061949,RALPH NADER,1,19781,2000
Louisiana,LA,9,AL GORE,44.9,792344,GEORGE W. BUSH,52.6,927871,RALPH NADER,1.2,20473,2000
Florida,FL,25,AL GORE,48.8,2912253,GEORGE W. BUSH,48.8,2912790,RALPH NADER,1.6,97488,2000
Virginia,VA,13,AL GORE,44.4,1217290,GEORGE W. BUSH,52.5,1437490,RALPH NADER,2.2,59398,2000
North Carolina,NC,14,AL GORE,43.2,1257692,GEORGE W. BUSH,56,1631163,RALPH NADER,0,,2000
South Carolina,SC,8,AL GORE,40.9,565561,GEORGE W. BUSH,56.8,785937,RALPH NADER,1.5,20200,2000
Oklahoma,OK,8,AL GORE,38.4,474276,GEORGE W. BUSH,60.3,744337,RALPH NADER,0,,2000
Mississippi,MS,7,AL GORE,40.7,404614,GEORGE W. BUSH,57.6,572844,RALPH NADER,0.8,8122,2000
Alabama,AL,9,AL GORE,41.6,692611,GEORGE W. BUSH,56.5,941173,RALPH NADER,1.1,18323,2000
Georgia,GA,13,AL GORE,43,1116230,GEORGE W. BUSH,54.7,1419720,RALPH NADER,0.5,13273,2000
Texas,TX,32,AL GORE,38,2433746,GEORGE W. BUSH,59.3,3799639,RALPH NADER,2.2,137994,2000
Nevada,NV,4,AL GORE,46,279978,GEORGE W. BUSH,49.5,301575,RALPH NADER,2.5,15008,2000
Arizona,AZ,8,AL GORE,44.7,685341,GEORGE W. BUSH,51,781652,RALPH NADER,3,45645,2000
Alaska,AK,3,AL GORE,27.7,79004,GEORGE W. BUSH,58.6,167398,RALPH NADER,10.1,28747,2000
Montana,MT,3,AL GORE,33.4,137126,GEORGE W. BUSH,58.4,240178,RALPH NADER,5.9,24437,2000
Idaho,ID,4,AL GORE,27.6,138637,GEORGE W. BUSH,67.2,336937,RALPH NADER,2.5,12292,2000
Wyoming,WY,3,AL GORE,27.7,60481,GEORGE W. BUSH,67.8,147947,RALPH NADER,2.1,4625,2000
Colorado,CO,8,AL GORE,42.4,738227,GEORGE W. BUSH,50.8,883748,RALPH NADER,5.3,91434,2000
Utah,UT,5,AL GORE,26.3,203053,GEORGE W. BUSH,66.8,515096,RALPH NADER,4.7,35850,2000
